Cycle,Capacity,Date
173,1.7364225056478186,2008-04-30 17:20:16
177,1.7263217239235826,2008-04-30 22:14:54
181,1.7158065389330133,2008-05-01 03:15:33
185,1.710533351135192,2008-05-01 08:16:03
189,1.706014499648521,2008-05-01 13:14:24
193,1.7003110272642588,2008-05-01 18:11:10
197,1.6945798601797895,2008-05-01 23:10:15
201,1.6849029086609286,2008-05-02 03:53:34
205,1.6744741591159717,2008-05-02 08:44:40
209,1.6745692479879102,2008-05-02 13:43:05
213,1.663716375981405,2008-05-02 19:07:48
215,1.659013868748246,2008-05-02 23:24:17
219,1.6538540573335014,2008-05-03 04:13:08
223,1.642653782130131,2008-05-03 09:10:19
227,1.6378578430223698,2008-05-03 14:04:34
231,1.6327350407099108,2008-05-03 18:58:13
235,1.6277528915533617,2008-05-03 23:42:30
239,1.622125485521159,2008-05-04 04:41:40
243,1.6113256603765849,2008-05-04 09:40:11
247,1.6065631397488385,2008-05-04 14:38:13
251,1.6015142233917594,2008-05-04 19:37:07
255,1.590369231400328,2008-05-05 00:35:53
259,1.5857889968242211,2008-05-05 05:28:13
263,1.5849430707374117,2008-05-05 11:41:31
265,1.5955263892495937,2008-05-05 20:40:08
269,1.5747301747801037,2008-05-06 01:38:46
273,1.5649019950937946,2008-05-06 06:37:06
277,1.5597659473370362,2008-05-06 11:25:21
281,1.5594815668184234,2008-05-06 16:23:36
285,1.55468935359061,2008-05-06 21:21:49
289,1.5488741079890418,2008-05-07 02:17:25
293,1.538236598942558,2008-05-07 07:04:02
297,1.527914258251028,2008-05-07 12:01:49
301,1.5285252629756445,2008-05-07 16:59:29
305,1.522647325284378,2008-05-07 21:56:09
309,1.5174859938489869,2008-05-08 02:53:49
312,1.605818899130659,2008-05-09 12:25:07
315,1.5638491446744425,2008-05-09 20:28:09
319,1.5480915247767786,2008-05-10 01:21:56
323,1.5323755631868592,2008-05-10 06:18:12
327,1.5269528268489705,2008-05-10 11:16:04
331,1.5169573017136326,2008-05-10 16:11:56
335,1.5118975960142693,2008-05-10 21:07:54
339,1.5065638960681105,2008-05-11 02:05:21
343,1.5015453526671363,2008-05-11 06:55:27
347,1.4908444050400238,2008-05-11 11:52:47
351,1.485868384561201,2008-05-11 16:49:58
355,1.480413677976106,2008-05-11 21:47:12
359,1.4752095869031632,2008-05-12 02:36:58
363,1.4859035988304024,2008-05-12 12:56:34
366,1.4960918298136696,2008-05-12 18:59:59
370,1.4808005946928984,2008-05-12 23:53:17
374,1.4697543268466824,2008-05-13 04:35:25
378,1.4539012274845928,2008-05-13 09:24:04
382,1.4541462067235693,2008-05-13 14:20:24
386,1.455023751906683,2008-05-13 19:04:20
390,1.449042163761236,2008-05-13 23:59:26
394,1.4386709371480566,2008-05-14 04:55:57
398,1.433445432156979,2008-05-14 09:52:22
402,1.4333958900838095,2008-05-14 14:35:22
406,1.42806487344776,2008-05-14 19:31:39
410,1.4229203181741186,2008-05-15 00:27:55
414,1.417429032731308,2008-05-15 05:24:04
418,1.412409228794446,2008-05-15 10:20:03
422,1.412578792940193,2008-05-15 15:10:59
426,1.4075983731469897,2008-05-15 19:56:47
430,1.4333920485221476,2008-05-16 16:54:59
432,1.4382550176792908,2008-05-16 21:37:39
436,1.4173547174485526,2008-05-17 02:32:13
440,1.406981663677643,2008-05-17 07:25:19
444,1.4012037783587625,2008-05-17 12:21:15
448,1.3967008232726328,2008-05-17 17:15:37
452,1.391284788852726,2008-05-17 22:10:51
456,1.3862287677978349,2008-05-18 03:05:19
460,1.3804366761974138,2008-05-18 08:00:50
464,1.3752364150256224,2008-05-18 12:44:48
468,1.3705128024895008,2008-05-18 17:36:29
472,1.3705085566270399,2008-05-18 22:31:45
476,1.3647355108681518,2008-05-19 03:27:07
480,1.375392016895762,2008-05-19 15:34:33
482,1.3861115151535393,2008-05-19 20:59:48
484,1.3698500035838939,2008-05-20 01:16:42
488,1.3647827949260758,2008-05-20 06:12:06
492,1.3543220466259964,2008-05-20 11:07:23
496,1.3546417018378962,2008-05-20 15:57:27
500,1.3547039213192407,2008-05-20 20:50:39
504,1.349314997503458,2008-05-21 01:39:38
508,1.3441891937970554,2008-05-21 06:24:27
512,1.3389913790695755,2008-05-21 11:18:06
516,1.3389145230206971,2008-05-21 16:10:21
520,1.3340066759761655,2008-05-21 21:02:09
524,1.3286444309174914,2008-05-22 01:42:59
528,1.3231708992276219,2008-05-22 06:32:40
532,1.3181691588445197,2008-05-22 11:23:22
536,1.3184664436640334,2008-05-22 16:17:58
540,1.318293040102702,2008-05-22 20:59:50
544,1.323872422244268,2008-05-23 12:13:16
547,1.3601216766554785,2008-05-23 20:14:29
551,1.3395306867947354,2008-05-24 01:09:21
555,1.3290286565120697,2008-05-24 06:00:20
559,1.3236741274998955,2008-05-24 10:42:50
563,1.318633896753293,2008-05-24 15:31:10
567,1.3134751321324272,2008-05-24 20:21:13
571,1.3132020634442203,2008-05-25 01:06:49
575,1.3077959946944353,2008-05-25 05:57:17
579,1.3030329186405918,2008-05-25 10:51:37
583,1.3033573559038205,2008-05-25 15:37:08
587,1.3034100438655642,2008-05-25 20:23:04
591,1.2978870806495706,2008-05-26 01:13:02
595,1.2980735056918902,2008-05-26 06:01:08
599,1.293463613844243,2008-05-26 10:44:38
603,1.288003392619118,2008-05-26 15:30:43
607,1.2874525221379407,2008-05-26 20:21:04
611,1.3090153642307354,2008-05-27 15:52:41
613,1.3250793286429356,2008-05-27 20:45:42
